Giá,Diện tích,Số phòng,Quận
7,89,2,Quận Nam Từ Liêm
2.8,48,2,Quận Tây Hồ
3.65,73,2,Quận Long Biên
9.6,104,3,Quận Nam Từ Liêm
6.7,108,3,Quận Cầu Giấy
7.5,112.9,3,Quận Bắc Từ Liêm
1.56,42,1,Huyện Thanh Trì
4.6,74,2,Quận Nam Từ Liêm
4,74,2,Quận Nam Từ Liêm
5500.00,95,2,Quận Hoàng Mai
5.5,77,2,Quận Cầu Giấy
4.1,74,2,Quận Bắc Từ Liêm
3.65,97,2,Quận Long Biên
3,51,,Quận Bắc Từ Liêm
7.6,101,2,Quận Đống Đa
3.7,102.3,3,Quận Thanh Xuân
2,66,2,Huyện Thanh Trì
23,179,4,Quận Nam Từ Liêm
1,30,2,Quận Cầu Giấy
5.95,80,2,Quận Bắc Từ Liêm
7.5,136,3,Quận Tây Hồ
4,82,3,Huyện Đông Anh
7.8,,2,Quận Thanh Xuân
3.85,70,2,Quận Nam Từ Liêm
9,149,3,Quận Cầu Giấy
8.5,130,3,Quận Cầu Giấy
3.1,83,3,Huyện Thanh Trì
2.28,43,1,Huyện Gia Lâm
2.85,57,2,Quận Tây Hồ
7.55,108,3,Quận Đống Đa
5.9,62,2,Quận Nam Từ Liêm
6.7,,2,Quận Cầu Giấy
5.5,77,2,Quận Cầu Giấy
31,200,3,Quận Ba Đình
9.75,94,2,Quận Tây Hồ
3.95,62,3,Quận Nam Từ Liêm
80,127.7,2,Quận Cầu Giấy
57.8,83,2,Quận Nam Từ Liêm
8.55,116.9,3,Quận Cầu Giấy
10,170,3,Quận Nam Từ Liêm
6.7,159,4,Quận Nam Từ Liêm
7,111,3,Quận Cầu Giấy
6.8,71,2,Quận Thanh Xuân
6.5,,2,Quận Thanh Xuân
14,172,4,Quận Thanh Xuân
4.75,121,3,Quận Nam Từ Liêm
7.2,87,2,Quận Nam Từ Liêm
6.6,132,3,Quận Cầu Giấy
9.9,198,4,Quận Nam Từ Liêm
4.2,69,2,Quận Tây Hồ
3.55,80,3,Quận Cầu Giấy
3.45,78,3,Quận Hoàng Mai
3.8,71,2,Quận Cầu Giấy
7.5,,2,Quận Thanh Xuân
3.95,82,3,Quận Nam Từ Liêm
12.1,144.5,3,Quận Cầu Giấy
7.1,100,3,Quận Cầu Giấy
29,57,2,Huyện Thạch Thất
5.4,86,3,Quận Nam Từ Liêm
7.5,153,3,Quận Cầu Giấy
5.57,71,2,Quận Cầu Giấy
7,135,2,Quận Nam Từ Liêm
4.5,70,2,Quận Nam Từ Liêm
6.45,94,3,Quận Bắc Từ Liêm
5.3,89,3,Quận Bắc Từ Liêm
4.35,97,3,Quận Nam Từ Liêm
6.2,82,,Quận Cầu Giấy
3.6,70,2,Quận Cầu Giấy
5,30,,Huyện Ba Vì
4.1,85,3,Quận Nam Từ Liêm
8.2,99.6,3,Quận Cầu Giấy
5.9,72,2,Quận Cầu Giấy
6.7,89,2,Quận Nam Từ Liêm
5.9,76.2,2,Quận Cầu Giấy
5,65,2,Quận Cầu Giấy
4.18,82.7,2,Quận Bắc Từ Liêm
10.2,108,3,Quận Nam Từ Liêm
4,62,2,Quận Cầu Giấy
6,103,3,Quận Nam Từ Liêm
7.1,71,2,Quận Nam Từ Liêm
3.9,90,3,Quận Thanh Xuân
7.6,101,2,Quận Đống Đa
4.3,90,3,Quận Thanh Xuân
3.7,74,1,Quận Nam Từ Liêm
11.2,134,4,Quận Thanh Xuân
8.6,110,3,Quận Cầu Giấy
3.5,60,2,Quận Nam Từ Liêm
6.3,97,2,Quận Cầu Giấy
5.7,73,2,Quận Nam Từ Liêm
5250,116,3,Quận Nam Từ Liêm
7,90,2,Quận Nam Từ Liêm
3.7,68,2,Quận Cầu Giấy
4.6,74,2,Quận Nam Từ Liêm
19,200,4,Quận Nam Từ Liêm
4.45,70,3,Quận Nam Từ Liêm
9.9,132,4,Quận Bắc Từ Liêm
4.5,69,2,Quận Nam Từ Liêm
12.2,104,3,Quận Tây Hồ
5.3,100,3,Quận Cầu Giấy
6.2,90,3,Quận Bắc Từ Liêm
6.8,133,2,Quận Nam Từ Liêm
4.7,80,3,Quận Nam Từ Liêm
10.5,108,3,Quận Nam Từ Liêm
9.8,134.5,2,Quận Cầu Giấy
6,109,3,Quận Bắc Từ Liêm
8,117,3,Quận Nam Từ Liêm
4.6,84,2,Quận Long Biên
1.8,43,1,Quận Bắc Từ Liêm
38,83,3,Quận Hà Đông
9.8,134.5,2,Quận Cầu Giấy
5.46,89,3,Quận Bắc Từ Liêm
3.2,83,3,Quận Hoàng Mai
7.3,117,3,Quận Nam Từ Liêm
3.35,70,2,Quận Bắc Từ Liêm
6.5,88,,Quận Tây Hồ
6.5,74.5,2,Quận Nam Từ Liêm
23,210,4,Quận Nam Từ Liêm
10.2,173,4,Quận Nam Từ Liêm
7.1,80,2,Quận Nam Từ Liêm
7.9,93,3,Quận Nam Từ Liêm
2.5,73,2,Quận Hà Đông
6.2,86,3,Quận Cầu Giấy
18,155,4,Quận Nam Từ Liêm
8.1,103,2,Quận Cầu Giấy
7400000000,117,2,Quận Cầu Giấy
9.8,161,4,Quận Nam Từ Liêm
6.5,117,3,Quận Nam Từ Liêm
22,220,4,Quận Nam Từ Liêm
4.2,76,2,Quận Hoàng Mai
12.5,171.6,3,Quận Cầu Giấy
10.2,111,3,Quận Nam Từ Liêm
15.1,130,4,Quận Nam Từ Liêm
17.5,105,3,Quận Thanh Xuân
8.2,81,2,Quận Nam Từ Liêm
5.1,88,2,Quận Nam Từ Liêm
4,56,2,Quận Đống Đa
4.85,83,3,Quận Nam Từ Liêm
6.7,133,2,Quận Nam Từ Liêm
5.3,83.3,2,Quận Nam Từ Liêm
4.5,90,3,Quận Thanh Xuân
4.2,61.5,2,Quận Nam Từ Liêm
7.6,130,3,Quận Nam Từ Liêm
2.2,67,2,Quận Bắc Từ Liêm
2.55,76,2,Huyện Thanh Trì
5.3,83,3,Quận Nam Từ Liêm
7,75,2,Quận Nam Từ Liêm
6.6,113,2,Quận Nam Từ Liêm
4.7,83,2,Quận Nam Từ Liêm
7.05,112,3,Quận Bắc Từ Liêm
4249999.87,74,2,Quận Nam Từ Liêm
3.5,60,2,Quận Nam Từ Liêm
6.6,98,3,Quận Bắc Từ Liêm
8,117,3,Quận Nam Từ Liêm
3.5,63,,Quận Nam Từ Liêm
3.45,51,2,Quận Cầu Giấy
4.15,67,2,Quận Nam Từ Liêm
5.5,105,3,Quận Nam Từ Liêm
8.7,106,3,Quận Nam Từ Liêm
7.5,85,3,Quận Nam Từ Liêm
6.5,75.7,2,Quận Cầu Giấy
15.8,130,4,Quận Nam Từ Liêm
2.8,64,2,Huyện Đông Anh
3,66,2,Huyện Thanh Trì
7.2,114,3,Quận Nam Từ Liêm
4.35,77,3,Quận Cầu Giấy
1.5,31,1,Huyện Gia Lâm
4.6,96.5,3,Quận Nam Từ Liêm
5.7,76,2,Quận Cầu Giấy
4.8,111,3,Quận Bắc Từ Liêm
5.3,90,3,Quận Cầu Giấy
7,73,2,Quận Nam Từ Liêm
4.3,100,3,Quận Nam Từ Liêm
5.1,120,3,Quận Nam Từ Liêm
8.2,105,3,Quận Nam Từ Liêm
3.5,75,2,Quận Bắc Từ Liêm
8,161,4,Quận Bắc Từ Liêm
4.8,83,2,Quận Nam Từ Liêm
1.95,35,,Quận Nam Từ Liêm
51000000,106,,Quận Nam Từ Liêm
4.3,96.3,3,Quận Nam Từ Liêm
5.2,95,2,Quận Nam Từ Liêm
5.3,95,3,Quận Bắc Từ Liêm
7.8,153,3,Quận Cầu Giấy
9,182,4,Quận Nam Từ Liêm
4.4,87,3,Quận Cầu Giấy
2.6,80,3,Quận Hoàng Mai
62,89,2,Quận Nam Từ Liêm
7,117,3,Quận Nam Từ Liêm
5,65,2,Quận Cầu Giấy
6.15,90,3,Quận Bắc Từ Liêm
4.1,62,2,Quận Nam Từ Liêm
5.1,86,2,Quận Nam Từ Liêm
5.5,110,3,Quận Nam Từ Liêm
3.50,75,2,Quận Bắc Từ Liêm
80,72.7,2,Quận Nam Từ Liêm
7.2,97.4,3,Quận Cầu Giấy
10,191,04,Quận Nam Từ Liêm
5.35,107,3,Quận Nam Từ Liêm
6.8,88,3,Quận Hai Bà Trưng
45,252,4,Quận Tây Hồ
3.44,73,2,Quận Long Biên
11,114,02,Quận Nam Từ Liêm
2.7,66,2,Huyện Thanh Trì
6.7,115,3,Quận Thanh Xuân
6.5,89,1,Quận Nam Từ Liêm
7.85,104,3,Quận Bắc Từ Liêm
6.5,77.5,2,Quận Cầu Giấy
2.8,69,2,Quận Nam Từ Liêm
10.5,136,3,Quận Thanh Xuân
6.5,96,3,Quận Cầu Giấy
3.05,83,3,Quận Hà Đông
4.5,97,2,Quận Thanh Xuân
8.15,145,3,Quận Thanh Xuân
6.2,109,3,Quận Bắc Từ Liêm
3.9,105,3,Quận Thanh Xuân
6.7,110,3,Quận Cầu Giấy
11.8,181,4,Quận Long Biên
17.5,137,4,Quận Nam Từ Liêm
12.7,285,4,Quận Thanh Xuân
4.85,98,3,Huyện Thanh Trì
5.4,104,03,Quận Nam Từ Liêm
8.9,95,3,Quận Cầu Giấy
4.1,62,2,Quận Nam Từ Liêm
5.7,112,3,Quận Nam Từ Liêm
5.2,91,03,Quận Cầu Giấy
6.9,156,3,Quận Nam Từ Liêm
4.35,83,3,Quận Bắc Từ Liêm
5.7,111,4,Quận Bắc Từ Liêm
60,69,2,Quận Nam Từ Liêm
2.7,46,2,Quận Đống Đa
3.3,70,03,Quận Nam Từ Liêm
54.5,124,3,Quận Nam Từ Liêm
5.25,76.2,2,Quận Cầu Giấy
4.8,94,3,Quận Nam Từ Liêm
5.4,109,3,Quận Hà Đông
6.2,160,,Quận Nam Từ Liêm
26,266.7,4,Quận Cầu Giấy
10.2,168,3,Quận Tây Hồ
6.9,156,3,Quận Nam Từ Liêm
7000000000,164,3,Quận Nam Từ Liêm
5.7,111,3,Quận Cầu Giấy
9,105,3,Quận Cầu Giấy
6.15,83,3,Quận Bắc Từ Liêm
4.35,90,3,Quận Thanh Xuân
5.40,80,2,Quận Long Biên
10.8,148,4,Quận Tây Hồ
6.3,105,3,Quận Hà Đông
2.91,81,2,Quận Hà Đông
2.3,30,1,Quận Long Biên
3,86,3,Quận Hoàng Mai
4.6,83,,Quận Nam Từ Liêm
6.00,90,3,Quận Bắc Từ Liêm
6.25,126,3,Quận Tây Hồ
3.55,75,3,Huyện Gia Lâm
3.95,110,3,Quận Long Biên
48,152,3,Quận Nam Từ Liêm
4.7,85,2,Quận Hà Đông
26.5,401,5,Quận Đống Đa
5.68,99,3,Quận Thanh Xuân
4.66,80,3,Quận Nam Từ Liêm
5.8,110,3,Quận Long Biên
3.88,121,4,Quận Hà Đông
4.1,76,2,Quận Cầu Giấy
2.55,43,1,Huyện Gia Lâm
22,200,,Quận Nam Từ Liêm
6.25,88,2,Quận Nam Từ Liêm
4.2,93,3,Quận Bắc Từ Liêm
3.15,54,2,Quận Bắc Từ Liêm
47,120,3,Quận Nam Từ Liêm
3.55,75,3,Huyện Gia Lâm
8,93,2,Quận Cầu Giấy
47.5,468,6,Quận Nam Từ Liêm
12,130,4,Quận Nam Từ Liêm
4.50,114,3,Quận Hà Đông
6.7,135,3,Quận Nam Từ Liêm
4,62,2,Quận Nam Từ Liêm
6.9,110,3,Quận Long Biên
7.5,114,3,Quận Tây Hồ
5.6,81,3,Quận Nam Từ Liêm
2.55,55,2,Huyện Gia Lâm
3.5,75,3,Quận Bắc Từ Liêm
6.6,137,3,Quận Hà Đông
2.90,63,2,Huyện Gia Lâm
6.9,83,2,Quận Cầu Giấy
106,457,3,Quận Ba Đình
4.35,97,3,Quận Nam Từ Liêm
5.9,123,3,Quận Hà Đông
4.8,80,2,Quận Nam Từ Liêm
8.3,110,3,Quận Thanh Xuân
6.2,110,3,Quận Nam Từ Liêm
5.3,94,2,Quận Bắc Từ Liêm
8.3,110,3,Quận Thanh Xuân
3.6,70.8,2,Quận Cầu Giấy
2.18,43,1,Huyện Gia Lâm
4.1,66,2,Quận Cầu Giấy
6.7,154,3,Quận Hà Đông
11,112,3,Quận Nam Từ Liêm
5.5,83,02,Quận Nam Từ Liêm
16,414,5,Quận Hà Đông
8.4,139,3,Quận Thanh Xuân
23.5,270,4,Quận Thanh Xuân
7,98.8,2,Quận Thanh Xuân
3.8,67,2,Quận Bắc Từ Liêm
3.65,71,2,Quận Bắc Từ Liêm
38,383,,Quận Thanh Xuân
9.8,112,3,Quận Thanh Xuân
4.8,80,2,Quận Nam Từ Liêm
4.8,80,3,Quận Cầu Giấy
5,65,2,Quận Nam Từ Liêm
7.3,117,3,Quận Bắc Từ Liêm
4.55,44,1,Quận Nam Từ Liêm
7.10,102,3,Quận Bắc Từ Liêm
7,104,3,Quận Cầu Giấy
4.05,75,2,Quận Tây Hồ
4.1,62,2,Quận Nam Từ Liêm
6.2,105,3,Quận Hà Đông
4.5,101,3,Quận Bắc Từ Liêm
4.5,76,2,Quận Hà Đông
6.85,82,2,Quận Nam Từ Liêm
60,124.3,,Quận Nam Từ Liêm
5,87,3,Quận Nam Từ Liêm
8.5,123.6,,Quận Cầu Giấy
4.5,83,3,Quận Nam Từ Liêm
5.4,83,3,Quận Nam Từ Liêm
16,137,3,Quận Đống Đa
6.6,128,4,Quận Nam Từ Liêm
8.8,126,3,Quận Cầu Giấy
4.26,71,2,Quận Bắc Từ Liêm
110,71,2,Quận Nam Từ Liêm
6.2,112.6,03,Quận Nam Từ Liêm
6.2,104,3,Quận Nam Từ Liêm
3.38,75,3,Huyện Gia Lâm
2.85,63,2,Huyện Gia Lâm
6.5,101,3,Quận Nam Từ Liêm
3.08,61,2,Quận Long Biên
8,99.6,3,Quận Cầu Giấy
72.3,83,3,Quận Bắc Từ Liêm
65,127,1,Quận Cầu Giấy
3.00,63,2,Huyện Gia Lâm
2.50,55,2,Huyện Gia Lâm
19,210,4,Quận Bắc Từ Liêm
3,63,2,Quận Hà Đông
3.9,67,2,Quận Long Biên
2.40,48,1,Huyện Gia Lâm
5.55,80,3,Quận Tây Hồ
2.18,43,1,Huyện Gia Lâm
4.1,105,3,Quận Nam Từ Liêm
52,168,3,Quận Thanh Xuân
7.3,84,3,Quận Cầu Giấy
3,70.7,2,Quận Cầu Giấy
16.5,157,2,Quận Bắc Từ Liêm
7.3,97,2,Quận Cầu Giấy
17,303,1,Quận Cầu Giấy
6.7,154,2,Quận Hà Đông
6.3,89,2,Quận Nam Từ Liêm
2.44,55,2,Huyện Gia Lâm
2.90,63,2,Huyện Gia Lâm
5.4,99,3,Quận Tây Hồ
8.55,117,3,Quận Cầu Giấy
7.5,147,3,Quận Đống Đa
4.7,80,2,Quận Nam Từ Liêm
3,51,1,Quận Cầu Giấy
6.3,95,3,Quận Nam Từ Liêm
4.83,82,3,Quận Thanh Xuân
45,65,2,Quận Nam Từ Liêm
3.5,100,3,Quận Long Biên
7.3,93,3,Quận Cầu Giấy
7.1,172,3,Quận Hà Đông
12.4,198,3,Quận Cầu Giấy
5.45,103,2,Quận Cầu Giấy
5.65,73,2,Quận Nam Từ Liêm
6,95,3,Quận Ba Đình
6.05,104,3,Quận Thanh Xuân
4.9,101,3,Quận Tây Hồ
4.2,70,2,Quận Bắc Từ Liêm
2.15,43,1,Huyện Gia Lâm
6.5,102,3,Quận Thanh Xuân
46,80.4,2,Quận Cầu Giấy
4.7,115,03,Quận Nam Từ Liêm
9.1,96,3,Quận Cầu Giấy
47,77,2,Quận Thanh Xuân
3.44,73,2,Quận Long Biên
2.45,55,2,Huyện Gia Lâm
3.95,80,3,Quận Cầu Giấy
2.82,63,2,Huyện Gia Lâm
16,303,4,Quận Thanh Xuân
2.40,55,2,Huyện Gia Lâm
3.6,64,2,Quận Long Biên
3.7,72,2,Quận Cầu Giấy
9.7,130,4,Quận Nam Từ Liêm
50,65,,Quận Nam Từ Liêm
7.2,105,3,Quận Cầu Giấy
4.8,80,3,Quận Nam Từ Liêm
3.9,98,2,Quận Cầu Giấy
5,80,2,Quận Cầu Giấy
53,226,04,Quận Nam Từ Liêm
8,150,3,Huyện Thanh Trì
6.9,122,3,Quận Thanh Xuân
2.2,67,2,Quận Bắc Từ Liêm
4.2,74,2,Quận Nam Từ Liêm
7.5,106,3,Quận Đống Đa
5.9,87,2,Quận Cầu Giấy
4.85,64,2,Quận Đống Đa
4.3,85,3,Quận Thanh Xuân
7.6,100,3,Quận Nam Từ Liêm
7.6,109,2,Quận Thanh Xuân
7.3,98,3,Quận Cầu Giấy
39,500,,Quận Thanh Xuân
7,156,4,Quận Nam Từ Liêm
7.3,135,3,Quận Nam Từ Liêm
6,83,3,Quận Bắc Từ Liêm
7.5,108,,Quận Thanh Xuân
5.5,120,2,Quận Nam Từ Liêm
4.1,60,2,Quận Hà Đông
5.7,63,2,Quận Cầu Giấy
5.8,80,02,Quận Nam Từ Liêm
8.5,94,3,Quận Thanh Xuân
6,83,3,Quận Nam Từ Liêm
4.7,55,1,Quận Thanh Xuân
10.5,130,3,Quận Đống Đa
5.99,88,2,Quận Nam Từ Liêm
8.4,139.6,1,Quận Thanh Xuân
7.2,118,3,Quận Cầu Giấy
2.65,58,2,Quận Nam Từ Liêm
3.2,93,3,Quận Bắc Từ Liêm
7.1,131,3,Quận Ba Đình
41,105,03,Quận Nam Từ Liêm
5.5,120,3,Quận Nam Từ Liêm
4,82,3,Quận Ba Đình
4.1,73,2,Quận Hai Bà Trưng
8.3,150,4,Quận Bắc Từ Liêm
38,105,3,Quận Nam Từ Liêm
8,127,3,Quận Thanh Xuân
5,113,3,Quận Hà Đông
8.35,84,2,Quận Ba Đình
6.8,122,2,Quận Hà Đông
50,65,,Quận Nam Từ Liêm
23.8,270,,Quận Thanh Xuân
5.8,77,2,Quận Cầu Giấy
4.4,68,2,Quận Cầu Giấy
7.1,122,3,Quận Hà Đông
4.5,92,3,Quận Tây Hồ
4,52,1,Quận Nam Từ Liêm
12.9,300,,Quận Thanh Xuân
5.35,97,2,Quận Hà Đông
7.4,135,03,Quận Nam Từ Liêm
8,127,3,Quận Bắc Từ Liêm
2.76,63,2,Huyện Gia Lâm
4.6,85.3,2,Quận Hà Đông
70,128,3,Quận Thanh Xuân
4.8,80,3,Quận Nam Từ Liêm
7.2,98,3,Quận Cầu Giấy
4,106,3,Quận Nam Từ Liêm
49,69,,Quận Nam Từ Liêm
6.75,135,3,Quận Nam Từ Liêm
5.3,76,,Quận Cầu Giấy
5.5,85,2,Quận Nam Từ Liêm
2.8,73,2,Quận Long Biên
2.9,63,2,Quận Hà Đông
7.8,104,3,Quận Nam Từ Liêm
11.8,146,3,Quận Tây Hồ
4.50,76,3,Huyện Gia Lâm
5.45,104,3,Quận Nam Từ Liêm
8,161,4,Quận Nam Từ Liêm
5.4,120,3,Quận Nam Từ Liêm
5.3,88.8,2,Quận Cầu Giấy
3700000,63,2,Quận Thanh Xuân
4.5,75,3,Quận Nam Từ Liêm
14.8,202,2,Quận Cầu Giấy
6.6,113,3,Quận Nam Từ Liêm
2.65,47,1,Huyện Gia Lâm
5.4,159,4,Quận Nam Từ Liêm
8.3,139.6,3,Quận Thanh Xuân
4.20,103,03,Quận Hà Đông
5,124,3,Quận Nam Từ Liêm
50,105,3,Quận Nam Từ Liêm
8.25,118,3,Quận Thanh Xuân
109,164,3,Quận Hoàn Kiếm
4.95,87,3,Quận Nam Từ Liêm
7.35,120,3,Quận Cầu Giấy
7,35,,Quận Cầu Giấy
4.15,86,2,Quận Cầu Giấy
8.8,126,3,Quận Cầu Giấy
3.2,87,2,Quận Bắc Từ Liêm
1.55,30,1,Quận Hoàn Kiếm
7,70,2,Quận Nam Từ Liêm
3.55,94,3,Quận Bắc Từ Liêm
4.95,80,2,Quận Long Biên
5.8,215,3,Quận Hà Đông
4.6,126,03,Quận Nam Từ Liêm
90,131,3,Quận Hoàn Kiếm
6.8,92,2,Quận Nam Từ Liêm
6,71,2,Quận Cầu Giấy
4.2,71,2,Quận Ba Đình
3.85,79,3,Quận Long Biên
4.6,106,3,Quận Nam Từ Liêm
6.1,111,3,Quận Ba Đình
2.75,75,2,Quận Long Biên
16000000000,170,4,Quận Nam Từ Liêm
4.2,90,03,Quận Thanh Xuân
1.98,43,1,Huyện Gia Lâm
16.8,331,5,Quận Cầu Giấy
7.1,102,3,Quận Bắc Từ Liêm
60,124.3,3,Quận Nam Từ Liêm
6.65,119,3,Quận Bắc Từ Liêm
2.65,80,3,Quận Đống Đa
6,72,2,Quận Nam Từ Liêm
5.6,80,2,Quận Nam Từ Liêm
3.20,75,3,Huyện Gia Lâm
3.88,70,2,Quận Ba Đình
4.2,70,,Quận Nam Từ Liêm
4.6,46,,Quận Nam Từ Liêm
2.9,45.7,1,Quận Nam Từ Liêm
10,135,3,Quận Cầu Giấy
5.4,102,3,Quận Cầu Giấy
7.7,84,3,Quận Nam Từ Liêm
5.45,105,3,Quận Hai Bà Trưng
7.1,102,2,Quận Thanh Xuân
8.4,100,3,Quận Cầu Giấy
3.55,69,,Quận Nam Từ Liêm
5.75,78,2,Quận Tây Hồ
5.8,123.7,3,Quận Hà Đông
4.5,80,3,Quận Nam Từ Liêm
7.6,105,2,Quận Thanh Xuân
7.5,135,3,Quận Thanh Xuân
85,158,3,Quận Cầu Giấy
8.56,97.3,3,Quận Thanh Xuân
4.9,75,2,Quận Bắc Từ Liêm
5.6,104,,Quận Nam Từ Liêm
2.35,66,2,Quận Bắc Từ Liêm
3.05,56,2,Quận Cầu Giấy
5.7,78,2,Quận Tây Hồ
4.36,85,3,Quận Long Biên
8.9,,3,Quận Thanh Xuân
6,,2,Quận Thanh Xuân
2.8,49,1,Quận Nam Từ Liêm
6,81,2,Quận Cầu Giấy
5.15,110,3,Quận Cầu Giấy
7.2,82,4,Quận Nam Từ Liêm
3.2,68.6,2,Quận Hoàng Mai
4.4,122,3,Quận Cầu Giấy
8.6,100,3,Quận Cầu Giấy
6.3,160,4,Quận Nam Từ Liêm
7.3,93,3,Quận Cầu Giấy
5.15,90,3,Quận Thanh Xuân
5.8,63,2,Quận Cầu Giấy
5.7,128,3,Quận Hà Đông
9.2,,3,Quận Nam Từ Liêm
3.55,62,2,Quận Cầu Giấy
3.5,51,2,Quận Tây Hồ
4.2,74,2,Quận Nam Từ Liêm
5.4,94,3,Quận Bắc Từ Liêm
3.6,68,2,Quận Bắc Từ Liêm
3.8,65,2,Quận Thanh Xuân
5.5,104,2,Quận Nam Từ Liêm
52,182,3,Quận Nam Từ Liêm
5.2,93.3,,Huyện Gia Lâm
7.5,153,3,Quận Nam Từ Liêm
3.35,66,2,Quận Hai Bà Trưng
9.8,120,3,Quận Hai Bà Trưng
5.5,95,3,Quận Tây Hồ
13.3,60,18,Quận Cầu Giấy
6.4,73,1,Quận Nam Từ Liêm
6.8,98,2,Quận Cầu Giấy
5.6,104,03,Quận Nam Từ Liêm
7,30,1,Quận Nam Từ Liêm
7.4,110,2,Quận Hai Bà Trưng
3.44,60,2,Quận Long Biên
5.5,63,2,Quận Nam Từ Liêm
2.2,92,3,Quận Bắc Từ Liêm
34,105.5,4,Quận Nam Từ Liêm
4.9,83,3,Quận Nam Từ Liêm
4.75,92,3,Quận Bắc Từ Liêm
2.1,50,2,Quận Hai Bà Trưng
3.20,75,3,Huyện Gia Lâm
5.3,104,3,Quận Nam Từ Liêm
5.8,68,2,Quận Nam Từ Liêm
3.5,78,3,Quận Hoàng Mai
5.3,143,3,Quận Nam Từ Liêm
1.95,43,1,Huyện Gia Lâm
6.57,88,02,Quận Nam Từ Liêm
3.96,68,2,Quận Ba Đình
6.1,137,3,Quận Hà Đông
10.5,131,3,Quận Thanh Xuân
2.7,56,2,Huyện Gia Lâm
4.6,86,3,Quận Bắc Từ Liêm
3.45,72,2,Huyện Đông Anh
6.5,98,3,Quận Nam Từ Liêm
7.6,85,3,Quận Cầu Giấy
12,164,3,Quận Thanh Xuân
5.25,86,3,Quận Nam Từ Liêm
5.6,803,2,Quận Bắc Từ Liêm
74,128,2,Quận Cầu Giấy
4.05,62,2,Quận Nam Từ Liêm
1.2,65,2,Quận Long Biên
