Giá,Diện tích,Số phòng,Quận
8.5,120.8,3,Quận Cầu Giấy
10,112,2,Quận Nam Từ Liêm
17,95,3,Quận Thanh Xuân
11.5,170,3,Quận Thanh Xuân
76,172,3,Quận Cầu Giấy
11.2,151.6,4,Quận Thanh Xuân
45,90,2,Quận Hà Đông
9.3,182,4,Quận Nam Từ Liêm
3.5,52,2,Quận Cầu Giấy
6.5,108,2,Quận Nam Từ Liêm
5.9,63,2,Quận Cầu Giấy
6.3,118,3,Quận Hà Đông
8.5,98,,Quận Cầu Giấy
5.8,116,3,Quận Nam Từ Liêm
75,128,2,Quận Cầu Giấy
5.68,79,2,Quận Cầu Giấy
2.88,65,2,Huyện Gia Lâm
4.5,96,3,Quận Nam Từ Liêm
5.3,76,2,Quận Nam Từ Liêm
3.80,95,3,Quận Hà Đông
3.5,62,2,Quận Nam Từ Liêm
7.4,105,3,Quận Thanh Xuân
7.4,90,3,Quận Nam Từ Liêm
76,130,2,Quận Cầu Giấy
15,181,,Quận Thanh Xuân
10,97,3,Quận Ba Đình
7,93.6,02,Quận Nam Từ Liêm
5.9,101,3,Quận Nam Từ Liêm
3.59,108,3,Quận Hà Đông
3,70,2,Quận Long Biên
8.6,138,3,Quận Cầu Giấy
4,83.4,3,Quận Long Biên
2.6,77,3,Huyện Thanh Trì
2.87,92,3,Quận Bắc Từ Liêm
6,111,3,Quận Ba Đình
2.6,70,2,Quận Hà Đông
6.6,154,3,Quận Hà Đông
3.4,58,2,Quận Hoàng Mai
5.8,105,2,Quận Nam Từ Liêm
3.18,75,3,Huyện Gia Lâm
4.5,75,3,Quận Nam Từ Liêm
5.5,88,2,Quận Đống Đa
6.3,105,3,Quận Hà Đông
10,191,4,Quận Nam Từ Liêm
21.85,160,3,Quận Tây Hồ
2.9,48,1,Quận Hoàng Mai
5.3,74,2,Quận Cầu Giấy
5.3,90,3,Quận Cầu Giấy
4,67,2,Quận Nam Từ Liêm
8.1,131,1,Quận Thanh Xuân
5.2,96,3,Quận Nam Từ Liêm
80,266,4,Quận Cầu Giấy
2.35,55,2,Huyện Gia Lâm
2.9,45.7,1,Quận Nam Từ Liêm
4.4,75,2,Quận Hà Đông
9.35,96.4,3,Quận Nam Từ Liêm
8.1,110,3,Quận Cầu Giấy
3.4,58,2,Quận Hoàng Mai
5.5,114,3,Quận Hà Đông
17,152,4,Quận Nam Từ Liêm
3.9,86,03,Quận Nam Từ Liêm
6.2,114,2,Quận Ba Đình
4.95,87,2,Quận Cầu Giấy
4.3,89.5,3,Quận Hoàng Mai
1.91,60,2,Quận Hai Bà Trưng
6.7,125,4,Quận Nam Từ Liêm
6.85,102,3,Quận Cầu Giấy
3.4,81,02,Quận Nam Từ Liêm
6.1,75.7,2,Quận Cầu Giấy
7.05,110,3,Quận Nam Từ Liêm
6.35,95,3,Quận Thanh Xuân
1.63,92,3,Quận Bắc Từ Liêm
4.5,75,3,Quận Hà Đông
14.5,160,3,Quận Tây Hồ
5.5,104,3,Quận Nam Từ Liêm
6.8,146,3,Quận Hà Đông
8.1,95,3,Quận Cầu Giấy
7.6,,2,Quận Đống Đa
1.5,57,2,Quận Thanh Xuân
6.4,93,3,Quận Đống Đa
24,270,4,Quận Thanh Xuân
4.8,83,2,Quận Nam Từ Liêm
1.9,45,2,Quận Hoàng Mai
3.8,77,3,Quận Bắc Từ Liêm
33,160,3,Quận Cầu Giấy
9.8,102,3,Quận Đống Đa
7.1,85,2,Quận Tây Hồ
5,96,3,Quận Nam Từ Liêm
8,140,3,Quận Thanh Xuân
1.63,92,,Quận Bắc Từ Liêm
14.8,181,,Quận Thanh Xuân
6.3,85,2,Quận Bắc Từ Liêm
4.70,80,2,Huyện Hoài Đức
2.2,80,2,Quận Hoàng Mai
12,145,4,Quận Hai Bà Trưng
4.72,130,3,Quận Nam Từ Liêm
6.8,87.4,1,Quận Tây Hồ
5.5,96,2,Quận Cầu Giấy
2.4,65,2,Quận Hà Đông
9.9,112,2,Quận Nam Từ Liêm
11.4,124,3,Quận Thanh Xuân
5.6,110,3,Quận Cầu Giấy
2.3,43,1,Quận Nam Từ Liêm
7.5,100,3,Quận Hai Bà Trưng
147,7.3,3,Quận Nam Từ Liêm
4700000.26,97,3,Quận Bắc Từ Liêm
5,83,3,Quận Nam Từ Liêm
9.5,181,4,Quận Nam Từ Liêm
4.35,98,3,Quận Thanh Xuân
5.06,106,3,Quận Long Biên
6.5,100,3,Quận Nam Từ Liêm
10.00,74,,Quận Bắc Từ Liêm
6.8,135,3,Quận Nam Từ Liêm
7.5,104,3,Quận Nam Từ Liêm
36,124,3,Quận Nam Từ Liêm
8,110,3,Quận Hai Bà Trưng
8.2,125,3,Quận Cầu Giấy
2.9,54,2,Quận Nam Từ Liêm
6.2,105,3,Quận Cầu Giấy
3.65,70,3,Quận Nam Từ Liêm
5.95,80,2,Quận Hai Bà Trưng
2.9,48,1,Quận Hoàng Mai
4,51,1,Quận Nam Từ Liêm
5,91,2,Quận Hà Đông
2.38,55,2,Huyện Gia Lâm
18,70,2,Quận Nam Từ Liêm
5.1,90,3,Quận Bắc Từ Liêm
2.88,60,2,Quận Nam Từ Liêm
5.55,97,2,Quận Cầu Giấy
5,106.9,3,Quận Hà Đông
4.3,90,3,Quận Cầu Giấy
1.75,75,3,Quận Hà Đông
10,,,Quận Cầu Giấy
5.9,100,2,Quận Nam Từ Liêm
5.4,123,4,Quận Cầu Giấy
2.35,45,1,Quận Cầu Giấy
12,145,4,Quận Hai Bà Trưng
6.35,98,3,Quận Thanh Xuân
5,87,3,Quận Nam Từ Liêm
5,95,3,Quận Nam Từ Liêm
5.72,97,3,Quận Hà Đông
7.3,147,4,Quận Nam Từ Liêm
4.30,85,3,Quận Long Biên
3.9,84,2,Quận Thanh Xuân
5.7,109,3,Quận Cầu Giấy
5.45,65,2,Quận Nam Từ Liêm
2.60,65,2,Huyện Gia Lâm
6.9,126,3,Quận Cầu Giấy
3.5,106,3,Quận Nam Từ Liêm
7,80,2,Quận Đống Đa
2.9,69,2,Quận Nam Từ Liêm
7.3,97,3,Quận Thanh Xuân
4.5,121,3,Quận Nam Từ Liêm
2270000128,95,,Quận Hà Đông
9.2,127,03,Quận Cầu Giấy
6,69,2,Quận Cầu Giấy
2.30,55,2,Huyện Gia Lâm
6,71,3,Quận Cầu Giấy
8.68,126,3,Quận Cầu Giấy
5.6,105,3,Quận Hà Đông
4.7,107,03,Quận Nam Từ Liêm
7.3,95,3,Quận Cầu Giấy
6.8,98,2,Quận Cầu Giấy
15.5,211,4,Quận Cầu Giấy
5.5,97,2,Quận Cầu Giấy
19,93,2,Quận Cầu Giấy
6.3,76,2,Quận Cầu Giấy
4.9,91,2,Quận Hà Đông
2,50,2,Quận Thanh Xuân
6.79,135,3,Quận Nam Từ Liêm
3.25,95,2,Quận Hà Đông
7.1,86,02,Quận Cầu Giấy
40,84.9,2,Quận Tây Hồ
3.7,90,3,Quận Hà Đông
1.63,92,3,Quận Bắc Từ Liêm
3.3,91,2,Quận Hà Đông
2.2,92,3,Quận Bắc Từ Liêm
9.5,182,3,Quận Nam Từ Liêm
7.5,138,3,Quận Cầu Giấy
5.6,77,4,Quận Cầu Giấy
5.1,101,3,Quận Long Biên
5.9,101,3,Quận Nam Từ Liêm
4.4,92,3,Quận Long Biên
5.35,86,3,Quận Nam Từ Liêm
4.2,77,2,Quận Tây Hồ
7.3,100,3,Quận Cầu Giấy
2.3,45,1,Quận Cầu Giấy
8.2,128,3,Quận Cầu Giấy
30000000,92,,Quận Bắc Từ Liêm
6,154,3,Quận Hà Đông
7.5,113,,Quận Thanh Xuân
2.27,95,3,Quận Hà Đông
5.4,84,03,Quận Bắc Từ Liêm
5.3,120,3,Quận Long Biên
17,152,4,Quận Nam Từ Liêm
5.9,118,3,Quận Nam Từ Liêm
3.5,99,3,Quận Hà Đông
8.8,182,4,Quận Nam Từ Liêm
3333333248,70,2,Quận Cầu Giấy
4.9,83,3,Quận Nam Từ Liêm
5.2,73,2,Quận Nam Từ Liêm
6.2,141,2,Quận Hà Đông
5,70,2,Quận Cầu Giấy
5.4,104,2,Quận Nam Từ Liêm
5.06,106,3,Quận Long Biên
8,105,3,Quận Cầu Giấy
6,133,4,Quận Nam Từ Liêm
5.1,86,3,Quận Bắc Từ Liêm
5.3,62,2,Quận Cầu Giấy
39,500,,Quận Thanh Xuân
3.6,76,2,Quận Hà Đông
7.3,147,3,Quận Cầu Giấy
6.5,91,3,Quận Thanh Xuân
4.7,83,3,Quận Nam Từ Liêm
2.31,55,2,Huyện Gia Lâm
4.9,83,3,Quận Nam Từ Liêm
5.99,109,3,Quận Cầu Giấy
8.6,131,3,Quận Thanh Xuân
2.3,60,2,Quận Ba Đình
7.65,105,3,Quận Thanh Xuân
6.5,90,2,Quận Hai Bà Trưng
3,92,3,Quận Bắc Từ Liêm
4.1,73,2,Quận Nam Từ Liêm
3.6,62,2,Quận Nam Từ Liêm
2.45,77,2,Quận Long Biên
4.4,74,2,Quận Bắc Từ Liêm
3.55,79,2,Quận Hà Đông
3.5,60,2,Quận Hoàng Mai
5.15,72,2,Quận Cầu Giấy
4.4,78.5,2,Quận Nam Từ Liêm
6.3,98,2,Quận Cầu Giấy
4,89,2,Quận Hà Đông
5,104,3,Quận Nam Từ Liêm
4,114,2,Quận Hà Đông
5.38,80,2,Quận Bắc Từ Liêm
8.5,125,3,Quận Cầu Giấy
1.82,43,1,Huyện Gia Lâm
8.3,109,1,Quận Tây Hồ
2.2,92,3,Quận Bắc Từ Liêm
5.25,76,2,Quận Cầu Giấy
5.2,,2,Quận Nam Từ Liêm
3.4,72,2,Quận Hà Đông
5.8,98,2,Quận Thanh Xuân
4,91.2,3,Quận Nam Từ Liêm
9.8,192,2,Quận Nam Từ Liêm
5.3,104,3,Quận Nam Từ Liêm
6.5,98,3,Quận Nam Từ Liêm
4,74,2,Quận Nam Từ Liêm
2.3,28,,Quận Nam Từ Liêm
3.9,92,2,Quận Cầu Giấy
8,127,3,Quận Cầu Giấy
5.4,104,3,Quận Nam Từ Liêm
4.2,73,2,Quận Cầu Giấy
5.25,110,3,Quận Nam Từ Liêm
3.90,77,,Quận Long Biên
4,90,3,Quận Nam Từ Liêm
4.30,85,3,Quận Long Biên
9.3,182,4,Quận Nam Từ Liêm
41,65,2,Quận Long Biên
7,156,2,Quận Nam Từ Liêm
4.3,96.3,3,Quận Nam Từ Liêm
5.75,105,3,Quận Nam Từ Liêm
2.8,42,1,Quận Nam Từ Liêm
5,83,3,Quận Nam Từ Liêm
4,78,2,Quận Nam Từ Liêm
5.3,104,3,Quận Nam Từ Liêm
4.40,85,3,Quận Long Biên
5.4,78,2,Quận Nam Từ Liêm
8,173,3,Quận Hà Đông
4.5,78.5,2,Quận Nam Từ Liêm
20,92,2,Quận Bắc Từ Liêm
5.6,102,3,Quận Nam Từ Liêm
4.5,46,,Quận Nam Từ Liêm
4.4,74,2,Quận Bắc Từ Liêm
9.9,198,4,Quận Nam Từ Liêm
7,86,3,Quận Cầu Giấy
3,51,5,Quận Cầu Giấy
4.4,90.8,2,Quận Cầu Giấy
2.2,80,3,Quận Hoàng Mai
5.6,107,2,Quận Thanh Xuân
3.58,85,2,Quận Hà Đông
8.4,95,3,Quận Cầu Giấy
3.6,74,1,Quận Nam Từ Liêm
5.3,104,3,Quận Nam Từ Liêm
9.5,124,3,Quận Thanh Xuân
6900000.00,81,3,Quận Nam Từ Liêm
5.06,106,3,Quận Long Biên
6899999744,97.2,3,Quận Bắc Từ Liêm
7.6,,2,Quận Thanh Xuân
9.2,184,4,Quận Nam Từ Liêm
5.6,122,3,Quận Hà Đông
12.3,121,3,Quận Nam Từ Liêm
5.00,100,,Quận Hai Bà Trưng
3.2,70,2,Quận Nam Từ Liêm
6.8,135,3,Quận Nam Từ Liêm
2.45,69.3,2,Quận Long Biên
5.3,91,3,Quận Nam Từ Liêm
2.5,85,2,Quận Hà Đông
6.2,122,3,Quận Cầu Giấy
1.52,33,1,Huyện Gia Lâm
3.7,92,02,Quận Bắc Từ Liêm
330000000,60,2,Quận Cầu Giấy
6,93,3,Quận Thanh Xuân
5,83,3,Quận Nam Từ Liêm
5.5,72,2,Quận Cầu Giấy
5.5,105,3,Quận Nam Từ Liêm
2.62,65,2,Huyện Gia Lâm
8.5,110,,Quận Cầu Giấy
5.1,101,3,Quận Long Biên
2.95,60,2,Quận Nam Từ Liêm
4.5,80,2,Quận Nam Từ Liêm
6,147,3,Quận Hà Đông
4,75,2,Quận Tây Hồ
5.5,112,3,Quận Cầu Giấy
1.58,35,2,Quận Hai Bà Trưng
9.6,64,2,Quận Tây Hồ
4.5,78,2,Quận Long Biên
4.5,95,2,Quận Cầu Giấy
5.2,74,2,Quận Nam Từ Liêm
6.4,107.4,3,Quận Thanh Xuân
8.45,150,4,Quận Đống Đa
47,110,3,Quận Nam Từ Liêm
1.63,45,2,Huyện Thanh Trì
4.2,72,2,Quận Hà Đông
5.4,104,3,Quận Nam Từ Liêm
8.7,117,3,Quận Cầu Giấy
3.5,57,2,Quận Cầu Giấy
8.3,115,3,Quận Ba Đình
5.1,109,3,Quận Cầu Giấy
61,162,4,Quận Cầu Giấy
5,107,2,Quận Hà Đông
17.5,,4,Quận Thanh Xuân
3.35,65,2,Quận Nam Từ Liêm
5.3,96,3,Quận Nam Từ Liêm
4,76,2,Quận Nam Từ Liêm
10.3,167,4,Quận Long Biên
6.6,87,2,Quận Tây Hồ
7.9,93,3,Quận Nam Từ Liêm
4.4,85,3,Quận Long Biên
5.3,91,3,Quận Nam Từ Liêm
5.3,90,3,Quận Bắc Từ Liêm
5.9,76,2,Quận Cầu Giấy
7.45,117,3,Quận Cầu Giấy
7,111,2,Quận Tây Hồ
3.5,64,2,Quận Nam Từ Liêm
4.3,76,2,Quận Hà Đông
9.8,128,3,Quận Tây Hồ
5.6,110,3,Quận Cầu Giấy
7.2,99,3,Quận Cầu Giấy
3500000,69,2,Huyện Đông Anh
5.6,72,2,Quận Cầu Giấy
6.8,98,4,Quận Cầu Giấy
4.5,65,,Quận Nam Từ Liêm
70,117,03,Quận Cầu Giấy
970,36,2,Huyện Thanh Trì
9,145,3,Quận Cầu Giấy
5.35,72,2,Quận Cầu Giấy
14.8,146,3,Quận Tây Hồ
68,117,2,Quận Cầu Giấy
9.8,,3,Quận Nam Từ Liêm
6.35,85,2,Quận Cầu Giấy
8,152,2,Quận Nam Từ Liêm
8.95,135,4,Quận Cầu Giấy
2.58,77,2,Quận Hà Đông
63,3,2,Quận Cầu Giấy
2.4,38,,Quận Cầu Giấy
2.39,64,2,Quận Hà Đông
5.2,127,3,Quận Nam Từ Liêm
5.5,90,2,Quận Ba Đình
5.3,120,3,Quận Long Biên
5,135,3,Quận Nam Từ Liêm
3.6,60,2,Quận Cầu Giấy
3.39,82,2,Quận Hà Đông
7.5,121,3,Quận Cầu Giấy
8.4,85,3,Quận Cầu Giấy
3.5,81.6,2,Quận Nam Từ Liêm
40,74.7,2,Quận Tây Hồ
3.7,70,2,Quận Bắc Từ Liêm
3.6,80,2,Quận Hà Đông
4.4,98,3,Quận Nam Từ Liêm
55,90,2,Quận Nam Từ Liêm
2.3,65,3,Quận Thanh Xuân
2.35,64,2,Quận Hà Đông
5.7,109,3,Quận Cầu Giấy
4.9,126,3,Quận Nam Từ Liêm
5.3,74,2,Quận Thanh Xuân
6.5,34,,Quận Cầu Giấy
5.1,131,3,Quận Nam Từ Liêm
5.5,100,3,Quận Cầu Giấy
8,113,03,Quận Cầu Giấy
8.1,117,3,Quận Cầu Giấy
4.95,100,3,Quận Cầu Giấy
6,74,2,Quận Cầu Giấy
8.1,105,2,Quận Cầu Giấy
14.8,168,3,Quận Cầu Giấy
4.6,97,3,Quận Nam Từ Liêm
4.1,76,2,Quận Nam Từ Liêm
5.6,110,3,Quận Cầu Giấy
5.2,96,3,Quận Nam Từ Liêm
17.5,235,4,Quận Thanh Xuân
5.5,,1,Quận Thanh Xuân
7.4,138,3,Quận Cầu Giấy
5.65,72,2,Quận Cầu Giấy
5.00,100,,Quận Hai Bà Trưng
6.2,93,2,Quận Cầu Giấy
4.8,126,3,Quận Nam Từ Liêm
7.3,94,3,Quận Nam Từ Liêm
5.4,104,3,Quận Nam Từ Liêm
22,222,3,Quận Thanh Xuân
5.4,76,2,Quận Cầu Giấy
17.5,240,4,Quận Thanh Xuân
5.3,74,2,Quận Thanh Xuân
4.30,94,3,Quận Long Biên
7.2,93,3,Quận Cầu Giấy
3.2,64,2,Quận Nam Từ Liêm
5.9,76,2,Quận Cầu Giấy
5.4,159,4,Quận Nam Từ Liêm
6.2,,2,Quận Thanh Xuân
3.50,101,3,Quận Hà Đông
8.3,105,3,Quận Nam Từ Liêm
5.1,101,3,Quận Long Biên
9.3,151,4,Quận Bắc Từ Liêm
5,124,2,Quận Hà Đông
14,198,4,Quận Nam Từ Liêm
4.4,85,3,Quận Long Biên
5.15,76,2,Quận Cầu Giấy
6.5,,2,Quận Thanh Xuân
2.35,60,2,Quận Hà Đông
4.4,78,2,Quận Hoàng Mai
300000,92,3,Quận Bắc Từ Liêm
3.2,65,2,Quận Thanh Xuân
4.48,73,2,Quận Bắc Từ Liêm
6,77,2,Quận Cầu Giấy
2.8,54,2,Quận Nam Từ Liêm
2.2,43,,Quận Nam Từ Liêm
7,140,3,Quận Cầu Giấy
5.06,106,3,Quận Long Biên
3.6,60,2,Quận Cầu Giấy
5.6,77,2,Quận Cầu Giấy
4.30,85,3,Quận Long Biên
1.5,66,2,Huyện Thạch Thất
8.4,125,3,Quận Cầu Giấy
4.95,88,2,Quận Cầu Giấy
3.8,77,2,Quận Long Biên
6.2,81,3,Quận Nam Từ Liêm
4.91,125,3,Quận Nam Từ Liêm
5.1,114,3,Quận Hà Đông
7,140,3,Quận Cầu Giấy
5.9,77,2,Quận Cầu Giấy
4.8,86,2,Quận Hà Đông
4.4,85,3,Quận Long Biên
3.4,70,2,Quận Hoàng Mai
3.04,55,2,Quận Nam Từ Liêm
8.9,127,3,Quận Cầu Giấy
4.30,97,3,Quận Long Biên
9,145,3,Quận Cầu Giấy
6.45,98,2,Quận Cầu Giấy
8.3,117,,Quận Cầu Giấy
6.8,74,2,Quận Cầu Giấy
5.9,109,3,Quận Cầu Giấy
3.9,73,2,Quận Hà Đông
16,200,4,Quận Thanh Xuân
8.2,131,,Quận Thanh Xuân
74,100,2,Quận Cầu Giấy
5.8,98,2,Quận Cầu Giấy
4.2,67,2,Quận Nam Từ Liêm
4.95,159,3,Quận Nam Từ Liêm
5.3,74,3,Quận Thanh Xuân
6,135,3,Quận Nam Từ Liêm
8,134,,Quận Bắc Từ Liêm
9,181,3,Quận Nam Từ Liêm
5.00,80,,Huyện Ba Vì
3.78,77,2,Quận Long Biên
4.5,83,2,Quận Nam Từ Liêm
6.8,109,2,Quận Thanh Xuân
5,90,3,Quận Bắc Từ Liêm
7.3,94,3,Quận Thanh Xuân
70,145,3,Quận Cầu Giấy
5.00,80,1,Huyện Mỹ Đức
5,95,2,Quận Cầu Giấy
6.5,93,2,Quận Thanh Xuân
5.5,,2,Quận Thanh Xuân
3.4,70,1,Huyện Gia Lâm
8,109,3,Quận Tây Hồ
3.4,60,2,Quận Cầu Giấy
5.6,104,3,Quận Nam Từ Liêm
5.8,100,2,Quận Cầu Giấy
8.5,132,3,Quận Bắc Từ Liêm
3.5,62,2,Quận Nam Từ Liêm
5.15,102,2,Quận Bắc Từ Liêm
5,102,3,Quận Bắc Từ Liêm
5.00,100,,Quận Cầu Giấy
14.5,203,4,Quận Cầu Giấy
4.35,78,2,Quận Cầu Giấy
3.35,66.8,2,Quận Bắc Từ Liêm
1500000000,36,,Huyện Gia Lâm
2.8,60,2,Quận Nam Từ Liêm
7.4,,3,Quận Thanh Xuân
4.7,154,3,Quận Hà Đông
6.2,88,3,Quận Cầu Giấy
5.2,83,3,Quận Nam Từ Liêm
3.5,70,2,Quận Bắc Từ Liêm
11,145,4,Quận Thanh Xuân
9.7,127,3,Quận Cầu Giấy
5.4,108,3,Quận Cầu Giấy
17,175,3,Quận Thanh Xuân
8,152,3,Quận Nam Từ Liêm
4.9,90,3,Quận Nam Từ Liêm
7.3,95,,Quận Cầu Giấy
14.5,181,3,Quận Thanh Xuân
5.2,86,3,Quận Bắc Từ Liêm
8.9,95,3,Quận Nam Từ Liêm
5.4,83,3,Quận Nam Từ Liêm
5.25,90,3,Quận Bắc Từ Liêm
5.6,102,3,Quận Nam Từ Liêm
2.8,82,3,Huyện Đông Anh
2.89,55,1,Quận Cầu Giấy
6.8,98,2,Quận Cầu Giấy
4.7,69,2,Quận Thanh Xuân
4.2,76,2,Quận Nam Từ Liêm
8,90,2,Quận Cầu Giấy
4.8,83,2,Quận Nam Từ Liêm
4.95,95,2,Quận Cầu Giấy
3.7,62,2,Quận Nam Từ Liêm
65,98,2,Quận Cầu Giấy
8.5,132,4,Quận Nam Từ Liêm
5.5,103,3,Quận Cầu Giấy
6.5,154,3,Quận Hà Đông
5.2,74,2,Quận Nam Từ Liêm
5.8,88,2,Quận Cầu Giấy
4.2,91,02,Quận Cầu Giấy
70,145,3,Quận Cầu Giấy
7.2,126,3,Quận Đống Đa
2.8,82,3,Huyện Đông Anh
7,93,2,Quận Thanh Xuân
7.5,106,03,Quận Cầu Giấy
3.9,70,2,Quận Hà Đông
19,175,3,Quận Thanh Xuân
4,76,2,Quận Nam Từ Liêm
5.6,122,3,Quận Cầu Giấy
6,90,3,Quận Thanh Xuân
3.30,73,2,Quận Long Biên
4.35,88,3,Quận Long Biên
5.2,101,3,Quận Nam Từ Liêm
2.2,,,Quận Nam Từ Liêm
5.9,99,2,Quận Thanh Xuân
2.4,50,1,Huyện Gia Lâm
7.5,103,3,Quận Long Biên
6,93,2,Quận Cầu Giấy
5.2,100,3,Quận Nam Từ Liêm
4.1,90,2,Quận Hà Đông
7.6,100,3,Quận Nam Từ Liêm
2.9,65,3,Quận Nam Từ Liêm
7.5,90,3,Quận Cầu Giấy
5.45,62,2,Quận Cầu Giấy
9,106.6,3,Quận Cầu Giấy
6,154,3,Quận Hà Đông
5.9,75.7,2,Quận Cầu Giấy
2.32,50,1,Huyện Gia Lâm
5.2,100,3,Quận Nam Từ Liêm
3,81,3,Quận Bắc Từ Liêm
5.2,101,3,Quận Nam Từ Liêm
5.3,101,3,Quận Nam Từ Liêm
5.85,112,3,Quận Nam Từ Liêm
5,88.3,3,Quận Hai Bà Trưng
8.5,95,3,Quận Cầu Giấy
7.3,124,3,Quận Cầu Giấy
4,86,2,Quận Hà Đông
6,82,2,Quận Cầu Giấy
5.6,73,2,Quận Thanh Xuân
5.3,133,2,Quận Nam Từ Liêm
3.3,106,3,Quận Nam Từ Liêm
14.9,181,3,Quận Thanh Xuân
5.8,124,3,Quận Thanh Xuân
45,150,03,Quận Cầu Giấy
4.7,149,3,Quận Cầu Giấy
11,58,2,Quận Hoàn Kiếm
5.95,153,3,Quận Nam Từ Liêm
70,125,3,Quận Cầu Giấy
5.6,105,3,Quận Hà Đông
2.3,60,2,Quận Hai Bà Trưng
800,61,1,Quận Nam Từ Liêm
5.15,102,3,Quận Bắc Từ Liêm
6.9,56,,Quận Ba Đình
3.8,77,2,Quận Long Biên
8.3,110,3,Quận Bắc Từ Liêm
2.8,70,2,Quận Hà Đông
9.6,47,1,Quận Hoàn Kiếm
6.2,88,2,Quận Cầu Giấy
4.35,74,2,Quận Bắc Từ Liêm
19,240,,Quận Thanh Xuân
2.8,69,2,Quận Hà Đông
5.2,134,3,Quận Hà Đông
6.7,114,3,Quận Bắc Từ Liêm
5.9,160,4,Quận Nam Từ Liêm
3.55,67,2,Quận Bắc Từ Liêm
5.4,159,03,Quận Nam Từ Liêm
4.1,76,2,Quận Nam Từ Liêm
3.78,77,2,Quận Long Biên
33,90,3,Quận Hà Đông
3.9,120,3,Quận Bắc Từ Liêm
3.9,75,2,Quận Hà Đông
9.5,127,3,Quận Cầu Giấy
35,415,3,Quận Thanh Xuân
3.15,73,2,Quận Long Biên
10.5,135.4,2,Quận Cầu Giấy
4.3,74,2,Quận Bắc Từ Liêm
